Name,Speed,Prefab,Model,Scale,Homing,HomingTime,HomingMinDistance,HitEffect,HitEffectAtProjectile,DeathEffect,Damage,DamageEffect,Pushback,PushbackAll,PushbackShortBuff,PushbackShortBuffTime,EndHitRange,TargetEnemies,TargetAllies,TargetSelf,SpawnAreaEffectObject,SpawnCharacter,SpawnConstPriority,SpawnCharacterCount,TargetBuff,BuffTime,BuffTimeIncreasePerLevel,TrailEffect,ProjectileRadius,ProjectileStartExtraRadius,ProjectileRange,CheckCollisions,SpawnProjectile,SpawnChain,SpawnAxisX,SpawnAxisY,MinDistance,MaxDistance,ConstantHeight,ArcHeight,Gravity,Heal,ChainedHitRange,ChainedHitCount,ChainedHitEndEffect,PingpongDeathEffect,ShakesTargets,ShakesShooter,PingpongVisualTime,DragType,DragBackSpeed,DragSelfSpeed,DragBackAsAttractor,DragMargin,DragEffect,AimingEffect,TargettedEffect,AngularDelay,PingpongMovingShooter,EnergyBurned,TargetBuildings,TargetMini,TargetHero
MusketeerB3ProjectileX,1800,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,fx/effects/generic_atkHit_musket_01,FALSE,,100,hit_colorfilter,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,cannonball_trail,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MusketeerStartProjectile,1800,,sc3d/pjt_cannonball_rig.glb,1,FALSE,0,0,bigcannonball_hit,FALSE,,600,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,cannonball_trail_special,250,400,25000,TRUE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MusketeerB3SpecialProjectile,2400,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,bigcannonball_hit,FALSE,,200,,2,FALSE,,0,,FALSE,FALSE,FALSE,,,,,AirPush1,1500,,cannonball_trail_special,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MusketeerStunshotProjectile,2400,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,bigcannonball_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,AirStun1,2000,,cannonball_trail_special,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
EliteArcherB3Arrow,2000,,sc3d/pjt_magicarrow_rig.glb,100,FALSE,100,20000,magicarrow_hit_big,FALSE,,140,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,magicarrow_trail01,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
EliteArcherB3SuperArrow,3000,,sc3d/pjt_magicarrow_rig.glb,100,FALSE,100,35000,magicarrow_hit_big,FALSE,,350,magichit_filter,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,magicarrow_trail01,250,400,35000,FALSE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MusketeerAimProjectile,2000,,,1,FALSE,100,20000,aim_target_effect,FALSE,,140,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,aim_target_effect,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ShieldMaidenReflectionProjectile,3000,,,1,FALSE,100,20000,shieldmaiden_reflection_projectfile_hit,FALSE,,140,minipekka_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,shieldmaiden_reflection_projectfile,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WardenB3Projectile,2000,,,1,TRUE,0,0,warden_razor_hit,FALSE,,120,hit_colorfilter_longer,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,warden_razor_beam,,,0,FALSE,FALSE,FALSE
AngelB1Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AngelB2Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AngelB3Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AngelB4Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AngelB5Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AngelB6Projectile,1500,,,1,TRUE,0,0,magicattack_hit,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
FishermanB3Projectile,2000,,sc3d/pjt_fisherman_anchor.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,TRUE,FALSE,FALSE,,,,,FishermanStun1,1500,,,250,400,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,hunter_rope_grab,,,,,0,FALSE,FALSE,FALSE
BowlerRock1,1000,prefabs/stone_big,,100,FALSE,0,0,rock_hit,FALSE,rock_hit,10,,1,FALSE,,0,,TRUE,FALSE,FALSE,,,,,NormalStun2,1000,,,250,400,26000,FALSE,,0,,,0,0,0,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BowlerSpecialRock,800,,pjt_bowler_stone_rig.glb,1,FALSE,0,0,rock_hit,FALSE,rock_hit,10,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,NormalStun2,1000,,stone_trail,250,400,13000,FALSE,,0,,,0,0,0,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BowlerAttackProjectileB1,800,prefabs/stone,,100,TRUE,0,0,rock_hit,FALSE,,80,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BowlerB3DProjectile,1200,,pjt_bowler_stone_rig.glb,1,TRUE,0,0,rock_hit,FALSE,,150,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,bullet_trail,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BabyTrollProjectileB1,1400,,,1,TRUE,0,0,cannonball_hit,FALSE,,80,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
GiantSkeletonDProjectile,1000,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,magicattack_hit,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
PrinceHorsePushback,9999,,,1,TRUE,0,0,,FALSE,,100,blundweapon_hit,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,NormalStun1,1000,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
AxeManB1Projectile,1000,,,1,FALSE,0,0,,FALSE,,90,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,900,0,5500,FALSE,,0,,,4500,0,3000,0,0,0,,0,,,TRUE,,1500,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
chr_wizardB1Projectile,1400,,,1,TRUE,0,0,,FALSE,,70,,0,FALSE,,0,Range1,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ice_wizardB1Projectile,1200,,sc3d/pjt_iceball_small_rig.glb,110,TRUE,0,0,icewizard_def_atk_hit_iceball,FALSE,,70,icewizard_slow_filter,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,IceWizardSlow,1500,,icewizard_def_atk_trail_iceball,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ice_wizardB1BigProjectile,1200,,sc3d/pjt_iceball_small_rig.glb,160,TRUE,0,0,icewizard_def_atk_hit_iceball_big,FALSE,,60,icewizard_slow_filter,0,FALSE,,0,Cross1,FALSE,FALSE,FALSE,,,,,IceWizardSlow,1500,,icewizard_def_atk_trail_iceball_big,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MinionB1Projectile,1000,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,,FALSE,,70,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MinionB1SpecialProjectile,1000,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,,FALSE,,85,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
TutSpearGoblinB1Projectile,1000,,sc3d/pjt_spear_rig.glb,100,TRUE,0,0,arrowweapon_hit,FALSE,,30,generic_atkHit_pierce_01,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,30,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
SpearGoblinB1Projectile,1000,,sc3d/pjt_spear_rig.glb,100,TRUE,0,0,fx/effects/generic_atkHit_pierce_01,FALSE,,100,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,speargoblin_def_atk_trail,0,0,0,FALSE,,0,,,0,0,0,0,30,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
SpeargoblinB1SuperSpear,1000,,sc3d/pjt_spear_rig.glb,100,TRUE,0,0,arrowweapon_hit,FALSE,,200,speargoblin_def_ulti_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,30,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ElectroDragonB1Projectile,1500,,,1,TRUE,0,0,,FALSE,,85,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,2500,0,20,0,Range3,4,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MegaKnightB1Appear,1000,,,1,FALSE,0,0,,FALSE,,444,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WizardSpeicalB1,800,,,1,TRUE,0,0,,FALSE,,85,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,WizardStun,2000,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WitchB1Projectile,1600,,,1,TRUE,0,0,generic_atkHit_witch_01,FALSE,,60,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,witch_projectile_trail,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WitchB1SpecialProjectile,1500,,,1,TRUE,0,0,witch_attack_hit,FALSE,,85,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,witch_projectile_trail,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BlowdartGoblinB1Projectile,1500,,sc3d/pjt_spear_rig.glb,20,TRUE,0,0,arrowweapon_hit,FALSE,,120,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BlowdartGoblinB1ProjectileStun,1500,,sc3d/pjt_spear_rig.glb,20,TRUE,0,0,arrowweapon_hit,FALSE,,120,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,NormalStun1,1000,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
FishermanProjectile,800,,sc3d/pjt_fisherman_anchor.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,NormalStun3,1200,,,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,1,850,450,TRUE,200,hunter_rope_grab,,,,,0,FALSE,FALSE,FALSE
HeroRoyalChampionProjectile,1000,,sc3d/pjt_royalchampian_spear.glb,100,TRUE,0,0,royalchampion_atk_hit,FALSE,,100,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,2000,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HeroRoyalChampionSuperProjectile,1600,,sc3d/pjt_royalchampian_shield.glb,100,TRUE,0,0,royalchampion_shield_hit_effect,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,royalchampion_shield_trail_blue,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HealingRangerSuperSpear,1800,,sc3d/pjt_magicarrow_rig.glb,1,FALSE,100,35000,heal_hit,FALSE,,350,,0,FALSE,,0,,FALSE,TRUE,TRUE,,,,,,0,,healingspear_trail02,700,1000,35000,FALSE,,0,,,0,0,2000,0,0,4,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,TRUE,TRUE
HealingRangerB1Projectile,1800,,sc3d/pjt_magicarrow_rig.glb,1,TRUE,0,0,healingspear_normal_hit,FALSE,,140,magicattack_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,healingspear_trail01,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
LumberjackPotionProjectile,1000,,sc3d/pjt_lumberjack_bottle.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,LumberjackPotionB3,,,,,0,,rage_potion_trail,0,0,0,FALSE,,0,,,0,0,5000,0,100,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
LavaGolemFireballProjectile,800,,sc3d/pjt_fireball_rig.glb,1,TRUE,0,0,fireball_hit,FALSE,,1,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,LavaGolemFire,3000,,lavaball_projectile,0,0,0,FALSE,,0,,,0,0,2000,0,30,0,,0,,,TRUE,,,0,0,0,FALSE,0,,ground_indicator_circle_small,,,,0,FALSE,FALSE,FALSE
LavaGolemFireballSmashProjectile,800,,sc3d/pjt_lavarock_rig.glb,1,TRUE,0,0,fireball_smash_hit,FALSE,,1,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,LavaGolemFireSmash,3000,,lavaball_rock_projectile,0,0,0,FALSE,,0,,,0,0,2000,0,30,0,,0,,,TRUE,,,0,0,0,FALSE,0,,ground_indicator_circle_small,,,,0,FALSE,FALSE,FALSE
HeroWardenWardprojectile,3000,,sc3d/pjt_royalchampian_shield.glb,1,TRUE,0,0,,FALSE,,200,,0,FALSE,,0,,FALSE,TRUE,FALSE,,,,,HeroWardenWardBuff,5000,,royalchampion_shield_trail_blue,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HealingRangerSuperSpearWide,1800,,sc3d/pjt_magicarrow_rig.glb,1,FALSE,100,35000,heal_hit,FALSE,,350,,0,FALSE,,0,,FALSE,TRUE,TRUE,,,,,,0,,healingspear_trail02_big,3000,600,35000,FALSE,,0,,,0,0,3000,0,0,4,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HeadHunterProjectile,1500,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,cannonball_hit,FALSE,,100,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,cannonball_trail,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HeadHunterSuperProjectile,1500,,sc3d/pjt_magicarrow_rig.glb,1,FALSE,100,35000,magicarrow_hit_big,FALSE,,350,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,magicarrow_trail02,250,400,35000,FALSE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BossLavaGolemLavaStrike,600,,sc3d/pjt_lavarock_rig.glb,1,TRUE,0,0,fireball_smash_hit,FALSE,,0,fireattack_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,LavaGolemLavaStrikeAoe,,,,,3000,,lavaball_rock_projectile,0,0,0,FALSE,,0,,,0,0,0,0,20,0,,0,,,,,,0,0,0,FALSE,0,,ground_indicator_circle,,,,0,FALSE,FALSE,FALSE
FishermanHookProjectile,1500,,sc3d/pjt_fisherman_anchor.glb,1,TRUE,0,0,fireattack_hit,FALSE,,1,,0,FALSE,,0,,FALSE,FALSE,FALSE,FishermanHookAoE,,,,,0,,,0,0,0,FALSE,,0,,,0,0,0,0,100,0,,0,,,,,,0,0,0,FALSE,0,hunter_rope_grab,,,,,0,FALSE,FALSE,FALSE
SkeletonArcherProjectile,1600,,,1,TRUE,0,0,magicattack_hit,FALSE,,60,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,healingspear_trail01,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BomberProjectile,1500,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
BomberSuperProjectile,1200,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,magicattack_hit,FALSE,,100,,0,FALSE,,0,,FALSE,FALSE,FALSE,BomberAoE,,,,NormalStun1,1500,,,0,0,0,FALSE,,0,,,0,0,0,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MermaidBubbleProjectile,2000,,sc3d/pjt_lumberjack_bottle.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,TRUE,FALSE,,,,,Bubbleblock,4000,,rage_potion_trail,0,0,0,FALSE,,0,,,0,0,0,0,50,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
MermaidSmallBubble,2000,,sc3d/pjt_lumberjack_bottle.glb,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,TRUE,FALSE,,,,,Bubbleblock,3000,,rage_potion_trail,0,0,0,FALSE,,0,,,0,0,0,0,50,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
LavaGolemSpitProjectile,1200,prefabs/lavafire,,1,FALSE,0,0,fireball_hit,FALSE,fireball_hit,2,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,,,LavaGolemFire,3000,,,100,0,10000,TRUE,,0,,,0,0,1000,3000,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,ground_indicator_circle_small,,,,0,FALSE,FALSE,FALSE
heroarcher_def_atk_common,1000,,sc3d/pjt_archer_arrow.glb,100,TRUE,0,0,sfx_hero_archer_atk_hit,FALSE,,120,generic_atkHit_slash_01,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,heroarcher_def_atk_trail_common,0,0,0,FALSE,,0,FALSE,FALSE,0,0,1000,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
HeroRCSkill3Spear,1800,,sc3d/pjt_spear_rig.glb,100,FALSE,0,0,speargoblin_def_ulti_hit,FALSE,,600,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,speargoblin_def_ulti_trail,250,400,25000,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
MonkJabProjectile,2500,,,1,FALSE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,SilenceBuff,2000,0,,250,400,13000,FALSE,,0,FALSE,FALSE,0,0,0,0,0,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
