Name,WaveName,Content,HeroLevel,Modifiers,GridX,GridY,BoardElementName,BoardElementX,BoardElementY,RandomSeed
,,GiantSkeletonB1,,,3,3,,,,
,,GiantSkeletonB1,,,1,3,,,,
,,ElectroWizardB1,,,1,1,,,,
PVE21-1,,HeroRoyalChampion,,,3,2,,,,
,,PekkaB1,,,3,3,,,,
,,AngelB1,,,3,1,,,,
PVE21-2,,HeroRoyalChampion,,,1,1,,,,
,,PekkaB1,,,3,3,,,,
,,AngelB1,,,,,,,,
,,ElectroWizardB1,,,2,2,,,,
,,AngelB1,,,4,2,,,,
PVE21-3,,HeroRoyalChampion,,,4,1,,,,
,,PekkaB1,,,4,3,,,,
,,AngelB1,,,,,,,,
,,ElectroWizardB1,,,3,1,,,,
,,AngelB1,,,3,,,,,
,,AngelB1,,,2,,,,,
,,GiantSkeletonB1,,,3,3,,,,
PVEH1-1,,SpearGoblinB1,,SpearGoblin_A,2,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,,3,,,,
,,TankDummyB2,,,3,3,,,,
PVEH1-2,,SpearGoblinB1,,SpearGoblin_A,4,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,,,,,
,,TankDummyB2,,,2,3,,,,
PVEH1-3,,SpearGoblinB1,,SpearGoblin_A,4,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,1,,,,
,,TankDummyB2,,,2,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVEH2-1,,KnightB1,,Knight_Heal,2,3,,,,
,,KnightB1,,Knight_Heal,,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,2,,,,
PVEH2-2,,SpearGoblinB1,,SpearGoblin_A,1,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,,3,,,,
,,KnightB1,,Knight_Heal,4,3,,,,
,,KnightB1,,Knight_Heal,3,2,,,,
,,KnightB1,,Knight_Heal,2,3,,,,
PVEH2-3,,SpearGoblinB1,,SpearGoblin_A,2,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,,,,,
,,KnightB1,,Knight_Heal,4,1,,,,
,,KnightB1,,Knight_Heal,3,2,,,,
,,KnightB1,,Knight_Heal,2,3,,,,
,,KnightB1,,Knight_Heal,1,2,,,,
,,KnightB1,,Knight_Heal,,1,,,,
PVEH3-1,,MiniPekkaB1,,MiniPekka_Mod,3,3,,,,
,,MiniPekkaB1,,MiniPekka_Mod,1,3,,,,
,,TankDummyB2,,,2,3,,,,
PVEH3-2,,MiniPekkaB1,,MiniPekka_Mod,4,2,,,,
,,MiniPekkaB1,,MiniPekka_Mod,3,2,,,,
,,MiniPekkaB1,,MiniPekka_Mod,2,2,,,,
,,TankDummyB2,,,3,3,,,,
,,TankDummyB2,,,1,3,,,,
PVEH3-3,,MiniPekkaB1,,MiniPekka_Mod,4,3,,,,
,,MiniPekkaB1,,MiniPekka_Mod,3,3,,,,
,,MiniPekkaB1,,MiniPekka_Mod,3,1,,,,
,,MiniPekkaB1,,MiniPekka_Mod,2,1,,,,
,,TankDummyB2,,,2,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,4,1,,,,
PVEH4-1,,HeroBarbarian,5,,1,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,1,,,,
PVEH4-2,,HeroBarbarian,5,,1,3,,,,
,,SpearGoblinB1,,SpearGoblin_A,2,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,,1,,,,
,,KnightB1,,Knight_Heal,2,3,,,,
PVEH4-3,,HeroBarbarian,5,,1,2,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,3,,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,1,,,,
,,SpearGoblinB1,,SpearGoblin_A,1,,,,,
,,MiniPekkaB1,,MiniPekka_A,3,2,,,,
,,KnightB1,,Knight_Heal,3,3,,,,
,,KnightB1,,Knight_Heal,1,3,,,,
PVEH5-1,,EliteArcherB1,,EliteArcher_A,,,,,,
,,TankDummyB2,,,1,2,,,,
,,TankDummyB2,,,,2,,,,
,,ElixirCollectorB2,,,1,,,,,
PVEH5-2,,EliteArcherB1,,EliteArcher_A,3,,,,,
,,EliteArcherB1,,EliteArcher_A,,,,,,
,,TankDummyB2,,,3,3,,,,
,,TankDummyB2,,,4,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
,,ElixirCollectorB2,,,1,,,,,
PVEH5-3,,EliteArcherB1,,EliteArcher_A,2,2,,,,
,,EliteArcherB1,,EliteArcher_A,2,1,,,,
,,EliteArcherB1,,EliteArcher_A,2,,,,,
,,TankDummyB2,,,4,3,,,,
,,TankDummyB2,,,3,3,,,,
,,TankDummyB2,,,2,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVEH6-1,,MinerB1,,Miner_Mod,4,2,,,,
,,MinerB1,,Miner_Mod,3,2,,,,
,,MinerB1,,Miner_Mod,2,2,,,,
,,TankDummyB2,,,2,3,,,,
PVEH6-2,,MinerB1,,Miner_Mod,4,2,,,,
,,MinerB1,,Miner_Mod,3,2,,,,
,,MinerB1,,Miner_Mod,2,2,,,,
,,MinerB1,,Miner_Mod,1,2,,,,
,,MinerB1,,Miner_Mod,,2,,,,
,,TankDummyB2,,,2,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVEH6-3,,MinerB1,,Miner_Mod,4,2,,,,
,,MinerB1,,Miner_Mod,3,2,,,,
,,MinerB1,,Miner_Mod,2,2,,,,
,,MinerB1,,Miner_Mod,1,2,,,,
,,MinerB1,,Miner_Mod,,2,,,,
,,KnightB1,,Knight_Heal,3,3,,,,
,,KnightB1,,Knight_Heal,1,3,,,,
PVEH7-1,,HeroBarbarian,5,,3,3,,,,
,,MinerB1,,Miner_Mod,2,2,,,,
,,EliteArcherB1,,EliteArcher_A,1,1,,,,
PVEH7-2,,HeroBarbarian,5,,3,3,,,,
,,MinerB1,,Miner_Mod,3,1,,,,
,,MinerB1,,Miner_Mod,2,2,,,,
,,EliteArcherB1,,EliteArcher_A,1,1,,,,
,,MiniPekkaB1,,MiniPekka_A,1,3,,,,
PVEH7-3,,HeroBarbarian,5,,1,3,,,,
,,MinerB1,,Miner_Mod,4,1,,,,
,,MinerB1,,Miner_Mod,3,3,,,,
,,MinerB1,,Miner_Mod,3,2,,,,
,,EliteArcherB1,,EliteArcher_A,4,,,,,
,,EliteArcherB1,,EliteArcher_A,3,1,,,,
,,MiniPekkaB1,,MiniPekka_A,2,2,,,,
PVEH8-1,,BattleHealerB1,,BattleHealer_A,4,3,,,,
,,BattleHealerB1,,BattleHealer_A,,3,,,,
PVEH8-2,,BattleHealerB1,,BattleHealer_A,3,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,3,,,,
,,BattleHealerB1,,BattleHealer_A,1,3,,,,
PVEH8-3,,BattleHealerB1,,BattleHealer_A,3,3,,,,
,,BattleHealerB1,,BattleHealer_A,4,3,,,,
,,BattleHealerB1,,BattleHealer_A,1,3,,,,
,,BattleHealerB1,,BattleHealer_A,,3,,,,
,,BarrelB2,,,2,3,,,,
PVEH9-1,,BlowdartGoblinB1,,BlowdartGoblin_Mod,1,,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,,,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVEH9-2,,BattleHealerB1,,BattleHealer_A,3,3,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,4,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,3,1,,,,
PVEH9-3,,BlowdartGoblinB1,,BlowdartGoblin_Mod,4,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,3,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,3,1,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,1,,,,
,,BattleHealerB1,,BattleHealer_A,3,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,3,,,,
,,BarrelB2,,,2,2,,,,
PVEH10-1,,LumberjackB1,,Lumberjack_B,3,3,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
PVEH10-2,,LumberjackB1,,Lumberjack_B,3,3,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,1,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,2,,,,
PVEH10-3,,LumberjackB1,,Lumberjack_B,4,3,,,,
,,LumberjackB1,,Lumberjack_B,3,3,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
,,LumberjackB1,,Lumberjack_B,,3,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,2,1,,,,
PVEH11-1,,HeroShieldMaiden,6,,2,3,,,,
,,BattleHealerB1,,BattleHealer_A,1,2,,,,
PVEH11-2,,HeroShieldMaiden,6,,1,3,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,1,1,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,,1,,,,
,,BattleHealerB1,,BattleHealer_A,,3,,,,
,,BarrelB2,,,2,2,,,,
PVEH11-3,,HeroShieldMaiden,6,,1,2,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,4,1,,,,
,,BlowdartGoblinB1,,BlowdartGoblin_Mod,3,1,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,2,,,,
,,BattleHealerB1,,BattleHealer_A,3,2,,,,
,,BarrelB2,,,4,2,,,,
PVEH12-1,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,3,2,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
PVEH12-2,,BarbarianB1,,Barbarian_Mod,3,2,,,,
,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,1,2,,,,
,,BarbarianB1,,Barbarian_Mod,,2,,,,
,,LumberjackB1,,Lumberjack_B,2,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
PVEH12-3,,BarbarianB1,,Barbarian_Mod,4,2,,,,
,,BarbarianB1,,Barbarian_Mod,3,2,,,,
,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,1,2,,,,
,,BarbarianB1,,Barbarian_Mod,,2,,,,
,,LumberjackB1,,Lumberjack_B,3,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,3,,,,
PVEH13-1,,IceWizardB1,,IceWizard_A,1,1,,,,
,,IceWizardB1,,IceWizard_A,,1,,,,
,,BattleHealerB1,,BattleHealer_A,1,3,,,,
PVEH13-2,,IceWizardB1,,IceWizard_A,2,1,,,,
,,IceWizardB1,,IceWizard_A,1,2,,,,
,,IceWizardB1,,IceWizard_A,,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,3,,,,
,,BattleHealerB1,,BattleHealer_A,3,2,,,,
PVEH13-3,,IceWizardB1,,IceWizard_A,4,1,,,,
,,IceWizardB1,,IceWizard_A,3,1,,,,
,,IceWizardB1,,IceWizard_A,2,1,,,,
,,IceWizardB1,,IceWizard_A,1,1,,,,
,,IceWizardB1,,IceWizard_A,,1,,,,
,,BattleHealerB1,,BattleHealer_A,4,3,,,,
,,BattleHealerB1,,BattleHealer_A,3,3,,,,
,,BattleHealerB1,,BattleHealer_A,2,3,,,,
,,BarrelB2,,,4,2,,,,
,,BarrelB2,,,,2,,,,
PVEH14-1,,HeroShieldMaiden,6,,2,3,,,,
,,BarbarianB1,,Barbarian_Mod,3,2,,,,
,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,1,2,,,,
PVEH14-2,,HeroShieldMaiden,6,,2,3,,,,
,,IceWizardB1,,IceWizard_A,2,,,,,
,,IceWizardB1,,IceWizard_A,1,,,,,
,,IceWizardB1,,IceWizard_A,,,,,,
,,BarbarianB1,,Barbarian_Mod,3,2,,,,
,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,4,2,,,,
PVEH14-3,,HeroShieldMaiden,6,,2,3,,,,
,,IceWizardB1,,IceWizard_A,4,,,,,
,,IceWizardB1,,IceWizard_A,3,,,,,
,,IceWizardB1,,IceWizard_A,2,,,,,
,,BarbarianB1,,Barbarian_Mod,2,2,,,,
,,BarbarianB1,,Barbarian_Mod,1,2,,,,
,,BarbarianB1,,Barbarian_Mod,,2,,,,
,,LumberjackB1,,Lumberjack_B,3,3,,,,
,,LumberjackB1,,Lumberjack_B,1,3,,,,
PVEM1-1,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,2,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,1,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,,2,,,,
,,TankDummyB2,,,2,3,,,,
PVEM1-2,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,4,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,2,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,2,1,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,2,,,,,
,,TankDummyB2,,,2,3,,,,
,,BarrelB2,,,3,1,,,,
PVEM1-3,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,4,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,3,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,1,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,,2,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,3,1,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,3,,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,1,1,,,,
,,SpearGoblinB1,,SpearGoblin_Mod;SpearGoblin_A,1,,,,,
,,TankDummyB2,,,3,3,,,,
,,TankDummyB2,,,1,3,,,,
,,BarrelB2,,,2,2,,,,
,,BarrelB2,,,2,,,,,
